caption,engagement,topic,n_hashtags,n_emoji,char_len
use my code buy two and get one free act quickly #foryou #foryou #viral #fyp 💯,33.4951,promo,4,1,78
just some pure comfort and warmth and home this is everything boring #viral #foryou #explore #foryou #fyp ✨😭,56.4441,wholesome,5,2,108
a quick guide to fixing a leaking faucet yourself try it tonight #shorts #reels 💯😭✨,61.2786,howto,2,3,83
step by step cleaning grout without scrubbing forever save this for later boring #trending #viral 🔥🙌🙌,38.3911,howto,2,3,101
link in bio for biggest sale of the entire season dont wait ❤️❤️❤️,20.5367,promo,0,3,66
the simple method for wiring the shelf bracket safely works every time annoying #explore #fyp #daily 👀🔥,45.1342,howto,3,2,103
from broken to rebuilt myself stronger you can too awful #viral #fyp #viral 😂,77.7775,transformation,3,1,77
can we stop another pointless software update again thats all #explore #trending #shorts #viral,43.5808,rant,4,0,95
step by step cleaning grout without scrubbing forever try it tonight #trending #fyp #explore #foryou ❤️✨,52.6626,howto,4,2,104
use my code exclusive bundle while supplies last shop now #foryou #viral #shorts #shorts,20.0262,promo,4,0,88
a tiny reminder gentle love on an ordinary day stay soft #fyp #reels ❤️💯💯😂,56.7414,wholesome,2,4,74
a quick guide to setting up the spreadsheet correctly thank me later #trending #fyp #viral #foryou 😂,45.5069,howto,4,1,100
soft moment of friends showing up when it mattered stay soft best #foryou #viral 🙌💯😭😂,70.7888,wholesome,2,4,85
im so tired of slow walkers blocking the whole aisle anyway whatever boring #viral #fyp #viral #shorts #viral 😂🙌❤️,11.589,rant,5,3,114
im so tired of slow walkers blocking the whole aisle thats all 💯💯,42.4979,rant,0,2,65
im so tired of the constant noise from the neighbors im done hate #reels 💯💯,7.6103,rant,1,2,75
from broken to small habits compounding daily no going back beautiful,58.7039,transformation,0,0,69
use my code subscribe for the discount today selling fast #foryou #foryou ❤️✨🙌😭,50.463,promo,2,4,79
limited drop buy two and get one free selling fast beautiful #trending 🔥,34.4127,promo,1,1,72
nobody asked but another pointless software update again im done amazing,31.0846,rant,0,0,72
soft moment of grandma laughing at the table stay soft #explore #shorts #shorts #trending #shorts 🔥😂,68.4128,wholesome,5,2,100
im so tired of people who chew loudly in meetings anyway whatever best #reels #trending ✨,30.2137,rant,2,1,89
a tiny reminder comfort and warmth and home be gentle today #fyp,68.661,wholesome,1,0,64
day 90 of the before and after nobody believed no going back love,77.5306,transformation,0,0,65
dont miss the subscribe for the discount today shop now 💯❤️,40.2867,promo,0,2,59
limited drop subscribe for the discount today dont wait #foryou #fyp #fyp 👀😭🙌,42.8582,promo,3,3,77
unpopular opinion but people who chew loudly in meetings thats all,37.9656,rant,0,0,66
a tiny reminder comfort and warmth and home stay soft #trending #explore #shorts #reels #shorts 👀❤️🙌✨,85.3956,wholesome,5,4,101
nobody asked but another pointless software update again anyway whatever hate #foryou #reels 🙌❤️👀,23.9431,rant,2,3,97
unpopular opinion but another pointless software update again im done love #foryou #foryou #daily,38.067,rant,3,0,97
step by step folding a fitted sheet properly try it tonight #shorts #viral #trending #foryou #fyp 🔥,35.9875,howto,5,1,99
limited drop twenty percent off everything storewide shop now #viral #viral #foryou #shorts 😭💯😂,31.3517,promo,4,3,95
step by step folding a fitted sheet properly thank me later annoying #fyp #explore #explore ✨,61.2406,howto,3,1,93
unpopular opinion but slow walkers blocking the whole aisle im done #foryou #explore #reels #foryou ❤️👀💯😭,27.9534,rant,4,4,105
just some pure friends showing up when it mattered hold your people close awful #viral #reels ✨❤️🔥,71.1907,wholesome,2,3,98
from broken to proof that change is possible and it changed me #foryou 💯❤️,57.9656,transformation,1,2,74
here is exactly how organizing a tiny kitchen efficiently try it tonight hate ✨🙌😂✨,38.316,howto,0,4,82
day 90 of the before and after nobody believed keep going #daily 🙌😂🔥🙌,74.084,transformation,1,4,69
step by step organizing a tiny kitchen efficiently save this for later #shorts #shorts #foryou #fyp 💯🙌,75.7585,howto,4,2,102
nobody asked but people who chew loudly in meetings end of rant #explore 💯,18.5777,rant,1,1,74
soft moment of a dog reunited with its family stay soft annoying #daily #daily 😂❤️🔥,62.9386,wholesome,2,3,83
the glow up is finally healed and thriving and it changed me #explore 🙌🙌👀💯,84.7828,transformation,1,4,74
found so much gentle love on an ordinary day stay soft #explore #trending #viral ❤️🙌💯❤️,63.9143,wholesome,3,4,87
the simple method for wiring the shelf bracket safely thank me later boring #reels #foryou #trending ❤️😂💯😂,54.7655,howto,3,4,106
the simple method for folding a fitted sheet properly works every time boring #daily #explore #fyp #trending ✨👀✨,56.2157,howto,4,3,112
day 90 of proof that change is possible and it changed me worst #trending ❤️😭,61.3665,transformation,1,2,77
limited drop twenty percent off everything storewide selling fast #trending #trending #reels ✨😭😂,57.4272,promo,3,3,96
dont miss the biggest sale of the entire season shop now #daily 💯,38.2283,promo,1,1,65
a quick guide to setting up the spreadsheet correctly save this for later worst #explore #trending #viral ❤️,43.1961,howto,3,1,108
day 90 of rebuilt myself stronger no going back beautiful #viral #foryou #trending 🙌👀,71.0034,transformation,3,2,85
soft moment of a dog reunited with its family stay soft awful #trending 💯💯,62.3976,wholesome,1,2,74
the simple method for wiring the shelf bracket safely try it tonight #foryou ❤️✨,58.5193,howto,1,2,80
found so much gentle love on an ordinary day stay soft happy #trending #shorts #viral #foryou 😭✨👀✨,65.848,wholesome,4,4,98
day 90 of rebuilt myself stronger you can too love 😭🔥❤️😭,93.0576,transformation,0,4,56
unpopular opinion but another pointless software update again im done boring #reels #shorts #reels 🙌😭,21.334,rant,3,2,101
nobody asked but another pointless software update again anyway whatever #fyp #daily #trending #foryou ✨❤️😂😭,19.1533,rant,4,4,108
use my code exclusive bundle while supplies last dont wait awful #shorts #fyp ❤️,39.9745,promo,2,1,80
soft moment of kindness shared between strangers be gentle today amazing 💯🔥🙌❤️,76.1865,wholesome,0,4,78
link in bio for the new collection just launched act quickly beautiful #explore #shorts 👀,58.4247,promo,2,1,89
soft moment of friends showing up when it mattered stay soft amazing #viral #shorts #foryou #foryou #trending 👀👀🔥,77.7989,wholesome,5,3,113
can we stop traffic on a road with no reason anyway whatever boring #explore #shorts #viral ✨👀✨,13.4745,rant,3,3,95
watch this become finally healed and thriving you can too beautiful #explore 😂❤️🙌🔥,73.6651,transformation,1,4,82
nobody asked but people who chew loudly in meetings thats all #reels #foryou #foryou 🙌,27.6468,rant,3,1,86
soft moment of kindness shared between strangers this is everything hate #shorts #foryou #explore #fyp 🙌,73.8341,wholesome,4,1,104
day 90 of the before and after nobody believed no going back #fyp 🙌✨❤️😭,68.2841,transformation,1,4,71
from broken to reinventing everything from scratch and it changed me happy ✨😭🔥🔥,77.8224,transformation,0,4,79
the glow up is rebuilt myself stronger keep going 😂🙌,94.5274,transformation,0,2,52
found so much gentle love on an ordinary day this is everything #explore #fyp #fyp #daily 😂✨🙌,75.2518,wholesome,4,3,93
dont miss the buy two and get one free act quickly #fyp,25.8892,promo,1,0,55
unpopular opinion but people who chew loudly in meetings anyway whatever #shorts #foryou #trending #reels ✨👀🔥✨,39.9064,rant,4,4,110
nobody asked but slow walkers blocking the whole aisle thats all boring #foryou #explore #foryou #fyp #reels ❤️,11.746,rant,5,1,111
found so much gentle love on an ordinary day this is everything #daily #foryou #shorts #foryou #shorts 😭❤️🙌🔥,62.4638,wholesome,5,4,108
watch this become reinventing everything from scratch you can too hate #fyp #explore #reels ❤️😭,60.596,transformation,3,2,95
unpopular opinion but people who chew loudly in meetings im done amazing #daily #explore #daily #reels 💯🙌🔥✨,45.6643,rant,4,4,107
step by step organizing a tiny kitchen efficiently works every time best #daily #trending 🙌😂,63.7232,howto,2,2,92
the glow up is small habits compounding daily keep going love #shorts #explore #reels #trending,79.2626,transformation,4,0,95
im so tired of traffic on a road with no reason im done hate #daily #daily #trending #reels #trending 👀,14.4907,rant,5,1,103
can we stop endless emails that should be calls im done #foryou 🙌🙌✨,35.1545,rant,1,3,67
im so tired of endless emails that should be calls im done hate #shorts #fyp #explore #foryou #trending 🙌,0.0,rant,5,1,105
the simple method for fixing a leaking faucet yourself thank me later 👀💯💯✨,43.9325,howto,0,4,74
step by step setting up the spreadsheet correctly thank me later ❤️🙌🙌,51.7084,howto,0,3,69
just some pure a dog reunited with its family this is everything amazing 😭😭👀✨,69.7623,wholesome,0,4,77
soft moment of gentle love on an ordinary day hold your people close boring #trending #fyp #trending 👀,67.992,wholesome,3,1,102
soft moment of a dog reunited with its family stay soft best #daily #viral #trending #reels ❤️😂🙌😭,75.5088,wholesome,4,4,97
link in bio for the new collection just launched dont wait #shorts #viral #fyp #daily,41.1803,promo,4,0,85
use my code exclusive bundle while supplies last dont wait worst ✨,15.2656,promo,0,1,66
here is exactly how setting up the spreadsheet correctly works every time hate 💯🙌💯❤️,50.5494,howto,0,4,84
step by step setting up the spreadsheet correctly save this for later worst #trending #trending #shorts #explore #reels 🔥👀🙌✨,57.0562,howto,5,4,124
dont miss the the new collection just launched dont wait #trending #shorts #trending #daily #shorts 🙌✨💯,23.4811,promo,5,3,103
dont miss the subscribe for the discount today selling fast boring #daily 😂😭,44.2039,promo,1,2,76
nobody asked but endless emails that should be calls thats all #daily #fyp 🔥🔥😭❤️,21.3801,rant,2,4,80
dont miss the exclusive bundle while supplies last selling fast ✨🙌😂,49.2751,promo,0,3,67
can we stop slow walkers blocking the whole aisle thats all #reels #explore #trending #fyp #shorts 😂,43.3023,rant,5,1,100
step by step organizing a tiny kitchen efficiently thank me later #foryou 💯,55.883,howto,1,1,75
just some pure comfort and warmth and home hold your people close best #trending #viral #viral #shorts 🙌🔥,64.6266,wholesome,4,2,105
found so much gentle love on an ordinary day hold your people close boring #viral #daily #fyp #trending #fyp 💯💯,72.287,wholesome,5,2,111
from broken to reinventing everything from scratch you can too #fyp #fyp #reels #daily ✨😂,68.8905,transformation,4,2,89
found so much friends showing up when it mattered be gentle today #fyp #trending #viral ❤️😂💯💯,71.3324,wholesome,3,4,93
found so much comfort and warmth and home stay soft #reels #fyp #fyp #trending ❤️,60.17,wholesome,4,1,81
can we stop people who chew loudly in meetings end of rant happy #trending #explore #fyp 😭🙌,24.4246,rant,3,2,91
soft moment of friends showing up when it mattered stay soft #trending #reels #shorts #fyp #trending 🔥😭🙌,67.7762,wholesome,5,3,104
just some pure a dog reunited with its family be gentle today #explore #shorts #fyp #foryou #shorts 😂🔥,57.0376,wholesome,5,2,102
dont miss the the new collection just launched selling fast beautiful #trending #trending #fyp #trending #trending 💯✨💯,40.254,promo,5,3,118
the simple method for wiring the shelf bracket safely works every time boring #shorts #trending #shorts 😭😭,50.2337,howto,3,2,106
watch this become reinventing everything from scratch and it changed me best #explore #foryou #viral #daily #fyp 🔥🔥,93.0606,transformation,5,2,115
a tiny reminder gentle love on an ordinary day hold your people close #daily 😭😭,67.1175,wholesome,1,2,79
limited drop the new collection just launched selling fast #explore #fyp ❤️👀👀,43.8972,promo,2,3,77
im so tired of endless emails that should be calls im done #foryou #daily #fyp #foryou #reels 🙌✨👀❤️,36.7785,rant,5,4,99
found so much kindness shared between strangers this is everything #trending #daily #shorts #daily ✨,58.7368,wholesome,4,1,100
just some pure kindness shared between strangers hold your people close annoying #shorts,55.9738,wholesome,1,0,88
im so tired of endless emails that should be calls im done awful #explore #trending #trending #fyp #viral,8.8231,rant,5,0,105
a quick guide to setting up the spreadsheet correctly thank me later worst #viral #daily #shorts 🔥,55.2539,howto,3,1,98
limited drop buy two and get one free dont wait hate #explore #reels 👀,43.7551,promo,2,1,70
the simple method for wiring the shelf bracket safely try it tonight beautiful #daily #trending #fyp #trending 💯🔥✨,66.838,howto,4,3,114
the simple method for setting up the spreadsheet correctly works every time #reels #trending 👀👀❤️,56.5861,howto,2,3,97
a quick guide to organizing a tiny kitchen efficiently save this for later happy #daily ✨,68.5539,howto,1,1,89
here is exactly how cleaning grout without scrubbing forever thank me later 😭,55.5418,howto,0,1,77
dont miss the exclusive bundle while supplies last shop now hate #shorts #daily #shorts #viral 🔥😭💯,35.1509,promo,4,3,98
limited drop subscribe for the discount today selling fast boring #foryou #foryou #trending #explore 😂👀🙌,46.8572,promo,4,3,104
just some pure gentle love on an ordinary day hold your people close #foryou #fyp #reels #explore 🔥,71.9623,wholesome,4,1,99
link in bio for twenty percent off everything storewide act quickly happy #reels 🔥❤️🔥👀,32.2295,promo,1,4,86
a tiny reminder kindness shared between strangers this is everything #reels 😭🔥🔥🔥,69.5054,wholesome,1,4,80
link in bio for biggest sale of the entire season selling fast best #foryou #explore 👀👀,42.6812,promo,2,2,87
found so much comfort and warmth and home be gentle today #explore 🙌,61.6408,wholesome,1,1,68
found so much friends showing up when it mattered hold your people close boring #trending,80.0676,wholesome,1,0,89
can we stop endless emails that should be calls thats all love 🙌,34.3443,rant,0,1,64
just some pure a dog reunited with its family hold your people close happy #fyp #viral,76.5796,wholesome,2,0,86
soft moment of gentle love on an ordinary day be gentle today annoying #reels #viral #foryou #explore 😂❤️😂,56.6729,wholesome,4,3,106
soft moment of gentle love on an ordinary day stay soft amazing 🔥😭✨🙌,53.5072,wholesome,0,4,68
dont miss the biggest sale of the entire season act quickly #reels 😂,22.2929,promo,1,1,68
day 90 of reinventing everything from scratch keep going boring,66.5607,transformation,0,0,63
dont miss the biggest sale of the entire season shop now #reels ✨❤️,27.4674,promo,1,2,67
soft moment of gentle love on an ordinary day this is everything hate,44.1057,wholesome,0,0,69
step by step cleaning grout without scrubbing forever works every time #shorts #fyp #reels #explore ✨😭💯💯,79.5446,howto,4,4,104
use my code biggest sale of the entire season act quickly boring #foryou #explore #reels 😂✨😂,26.8291,promo,3,3,92
soft moment of gentle love on an ordinary day be gentle today happy #reels #foryou #reels #explore #daily ❤️✨,70.8882,wholesome,5,2,109
step by step fixing a leaking faucet yourself try it tonight #shorts #shorts #reels #shorts,51.4789,howto,4,0,91
dont miss the subscribe for the discount today selling fast happy #viral #trending #foryou ✨😂😂,28.246,promo,3,3,94
im so tired of slow walkers blocking the whole aisle thats all annoying 💯💯🙌👀,16.0083,rant,0,4,76
unpopular opinion but another pointless software update again end of rant hate #trending #viral 😭🙌🙌👀,29.9513,rant,2,4,100
im so tired of people who chew loudly in meetings thats all hate #daily #daily #daily #foryou,18.7437,rant,4,0,93
unpopular opinion but endless emails that should be calls im done happy,32.8332,rant,0,0,71
use my code biggest sale of the entire season act quickly #trending #viral,54.6641,promo,2,0,74
link in bio for biggest sale of the entire season selling fast love #viral #fyp ❤️,14.9454,promo,2,1,82
watch this become reinventing everything from scratch you can too #reels #viral #foryou #daily,58.3611,transformation,4,0,94
a tiny reminder a dog reunited with its family hold your people close #fyp #daily 😂😂,60.5031,wholesome,2,2,84
the simple method for setting up the spreadsheet correctly try it tonight awful,39.1241,howto,0,0,79
use my code buy two and get one free dont wait 💯🔥✨,45.0377,promo,0,3,50
a tiny reminder comfort and warmth and home be gentle today hate #daily #reels #foryou #shorts #foryou 😂,70.6381,wholesome,5,1,104
unpopular opinion but people who chew loudly in meetings end of rant #reels #daily #daily #fyp #explore 😂✨💯,24.1267,rant,5,3,107
step by step wiring the shelf bracket safely try it tonight #explore ❤️🔥✨,71.2146,howto,1,3,73
here is exactly how folding a fitted sheet properly works every time #daily,40.7782,howto,1,0,75
found so much a dog reunited with its family this is everything beautiful #foryou #foryou #reels 💯,76.4425,wholesome,3,1,98
the glow up is small habits compounding daily no going back #daily #foryou 🙌🙌,58.6882,transformation,2,2,77
nobody asked but another pointless software update again thats all boring,30.7444,rant,0,0,73
nobody asked but the constant noise from the neighbors end of rant #shorts #shorts #trending #shorts #shorts 🔥❤️😭,42.6585,rant,5,3,113
found so much grandma laughing at the table this is everything #viral #explore #viral #reels ❤️,63.1197,wholesome,4,1,95
a quick guide to setting up the spreadsheet correctly thank me later #fyp 👀😭😂,26.3134,howto,1,3,77
the glow up is the before and after nobody believed no going back beautiful 😂,66.8258,transformation,0,1,77
the simple method for fixing a leaking faucet yourself save this for later love #shorts #fyp #reels #trending #explore,68.5289,howto,5,0,118
day 90 of proof that change is possible no going back #explore #viral #reels #trending #trending,61.5981,transformation,5,0,96
just some pure grandma laughing at the table stay soft happy #foryou #foryou 👀,53.7172,wholesome,2,1,78
found so much grandma laughing at the table this is everything #explore ❤️❤️✨,67.9487,wholesome,1,3,77
use my code buy two and get one free dont wait #reels #daily #viral #reels 👀😂😂,35.7097,promo,4,3,78
step by step organizing a tiny kitchen efficiently try it tonight best #reels #shorts #shorts 😂✨,57.5671,howto,3,2,96
day 90 of small habits compounding daily and it changed me annoying #trending 😂✨,64.6754,transformation,1,2,80
im so tired of slow walkers blocking the whole aisle im done #shorts #viral #explore #reels #foryou 👀❤️👀,17.1827,rant,5,3,104
day 90 of small habits compounding daily you can too best #explore #foryou 🙌😂✨,78.0683,transformation,2,3,78
here is exactly how organizing a tiny kitchen efficiently thank me later hate ❤️😂,50.3273,howto,0,2,81
just some pure comfort and warmth and home this is everything #foryou ❤️🔥😭,57.1648,wholesome,1,3,74
nobody asked but slow walkers blocking the whole aisle end of rant happy #daily #reels #foryou #shorts,30.1372,rant,4,0,102
link in bio for twenty percent off everything storewide shop now love #reels #foryou #trending 👀❤️🙌💯,41.7529,promo,3,4,100
im so tired of endless emails that should be calls anyway whatever #explore #fyp #foryou #trending #fyp 👀,26.138,rant,5,1,105
dont miss the buy two and get one free shop now #trending #daily #explore #viral,31.6249,promo,4,0,80
day 90 of small habits compounding daily keep going best #trending #reels #trending ✨,84.6276,transformation,3,1,85
limited drop exclusive bundle while supplies last selling fast happy 👀✨,35.5866,promo,0,2,71
im so tired of traffic on a road with no reason end of rant,21.7654,rant,0,0,59
link in bio for biggest sale of the entire season selling fast awful #explore #shorts 👀👀😭❤️,24.9351,promo,2,4,91
can we stop another pointless software update again im done happy #foryou #fyp #reels ✨👀👀😭,35.2717,rant,3,4,90
here is exactly how wiring the shelf bracket safely thank me later #fyp #daily 😭,67.6817,howto,2,1,80
here is exactly how cleaning grout without scrubbing forever thank me later #shorts 💯😭✨✨,56.6627,howto,1,4,88
watch this become rebuilt myself stronger keep going annoying #viral ✨,70.8923,transformation,1,1,70
im so tired of another pointless software update again end of rant #viral #foryou 😂💯❤️,36.6022,rant,2,3,86
limited drop buy two and get one free dont wait #foryou #trending #daily #reels #daily,27.0919,promo,5,0,86
unpopular opinion but slow walkers blocking the whole aisle thats all #reels #explore #reels #foryou #fyp 😭,40.1275,rant,5,1,107
the glow up is small habits compounding daily and it changed me best #viral #shorts #trending #trending #daily,77.4652,transformation,5,0,110
im so tired of slow walkers blocking the whole aisle thats all boring #shorts #viral #viral #shorts #explore,20.091,rant,5,0,108
found so much grandma laughing at the table be gentle today love #foryou ❤️✨🔥😭,74.456,wholesome,1,4,78
im so tired of another pointless software update again im done love #foryou 🙌,44.463,rant,1,1,77
im so tired of the constant noise from the neighbors thats all annoying #fyp 🔥🔥👀💯,21.9821,rant,1,4,81
unpopular opinion but traffic on a road with no reason im done #foryou #shorts #explore #viral ✨,36.0422,rant,4,1,96
here is exactly how setting up the spreadsheet correctly works every time #shorts #daily #trending #viral,44.4449,howto,4,0,105
just some pure friends showing up when it mattered stay soft #viral #trending #daily #shorts 👀,60.0256,wholesome,4,1,94
soft moment of gentle love on an ordinary day hold your people close #trending #foryou,65.1251,wholesome,2,0,86
link in bio for the new collection just launched shop now #explore #shorts #fyp ❤️😭😂,31.6345,promo,3,3,84
unpopular opinion but traffic on a road with no reason im done hate #fyp #trending #explore #reels #fyp 💯🙌🙌😂,25.9334,rant,5,4,108
day 90 of proof that change is possible keep going annoying #foryou #shorts 😂😂😂,60.2414,transformation,2,3,79
here is exactly how fixing a leaking faucet yourself works every time beautiful #trending #shorts,46.6669,howto,2,0,97
can we stop the constant noise from the neighbors anyway whatever amazing #trending #reels #explore #shorts ❤️😭,36.9512,rant,4,2,111
a quick guide to folding a fitted sheet properly save this for later #fyp #foryou #daily ✨❤️👀,52.0669,howto,3,3,93
soft moment of gentle love on an ordinary day hold your people close #fyp #shorts #explore 🔥👀,60.5197,wholesome,3,2,93
link in bio for the new collection just launched act quickly happy #explore #foryou #daily 😭,58.9945,promo,3,1,92
nobody asked but traffic on a road with no reason thats all ❤️,28.2459,rant,0,1,62
use my code biggest sale of the entire season selling fast #reels,23.8991,promo,1,0,65
just some pure comfort and warmth and home this is everything #viral,62.4715,wholesome,1,0,68
link in bio for twenty percent off everything storewide act quickly #reels 😂😂👀👀,35.8702,promo,1,4,79
link in bio for biggest sale of the entire season selling fast boring #viral ✨👀✨😭,27.8845,promo,1,4,81
link in bio for subscribe for the discount today selling fast happy 😂👀👀,39.914,promo,0,3,71
the glow up is proof that change is possible keep going #explore #trending #foryou #reels #trending 💯✨😂,91.7072,transformation,5,3,103
the simple method for fixing a leaking faucet yourself thank me later best #shorts #reels #shorts #reels 🔥😭,57.8956,howto,4,2,107
the simple method for folding a fitted sheet properly thank me later happy #foryou #viral #explore #foryou,37.0008,howto,4,0,106
nobody asked but the constant noise from the neighbors anyway whatever awful 💯🔥💯✨,30.9911,rant,0,4,81
watch this become reinventing everything from scratch no going back worst #explore 😭👀😂,67.3005,transformation,1,3,86
limited drop the new collection just launched selling fast boring #explore #viral #daily #trending,26.5951,promo,4,0,98
the simple method for organizing a tiny kitchen efficiently works every time #trending #reels 👀😂✨,62.3964,howto,2,3,97
watch this become proof that change is possible keep going #fyp #trending #daily ❤️❤️,65.0081,transformation,3,2,85
found so much grandma laughing at the table this is everything 😂👀🔥,86.216,wholesome,0,3,66
day 90 of the before and after nobody believed no going back love #reels #foryou #fyp 💯❤️,79.9468,transformation,3,2,89
day 90 of reinventing everything from scratch keep going #viral ❤️✨😭,76.8013,transformation,1,3,68
the simple method for fixing a leaking faucet yourself thank me later #explore #trending #foryou #foryou #viral 🔥✨😭😂,36.7961,howto,5,4,116
step by step folding a fitted sheet properly thank me later #viral #fyp #shorts,64.2651,howto,3,0,79
limited drop the new collection just launched act quickly boring 🙌🔥,37.0525,promo,0,2,67
the glow up is finally healed and thriving and it changed me #shorts 👀❤️,82.852,transformation,1,2,72
use my code the new collection just launched shop now worst #trending ❤️,8.9788,promo,1,1,72
step by step cleaning grout without scrubbing forever works every time #shorts #trending #viral #viral 🙌,42.6318,howto,4,1,104
step by step wiring the shelf bracket safely save this for later 😭,70.0029,howto,0,1,66
from broken to reinventing everything from scratch no going back #shorts #explore 💯,92.0953,transformation,2,1,83
can we stop another pointless software update again end of rant 💯😭🔥,43.1054,rant,0,3,67
link in bio for twenty percent off everything storewide shop now #viral 😂🔥🙌,19.9232,promo,1,3,75
found so much kindness shared between strangers this is everything best 💯❤️,57.5436,wholesome,0,2,75
limited drop subscribe for the discount today selling fast #reels #viral #foryou 🔥,27.9864,promo,3,1,82
